epoch,train_loss,val_loss
1,0.007614350811091357,0.0030676641667091195
2,0.0023156835149435004,0.0017604777486142243
3,0.0018215025458220495,0.00180098370519388
4,0.0012445030745984183,0.0007790707001129729
5,0.0014977027141201329,0.0007954369740590164
6,0.0013162084345514787,0.001705810007914691
7,0.0011762054869187766,0.0013796214730000045
8,0.0012205042738469914,0.0018281177207696395
9,0.0011831273182189095,0.0020096601307979115
10,0.0010250887095333409,0.0014516270033274057
11,0.0010018500981690086,0.0009946207102702956
12,0.001039028005808933,0.0012470671302855381
13,0.0009226258584610957,0.0026600816529768873
14,0.0008925587010029196,0.0006736055101369652
15,0.0012269555335491609,0.001090094923352475
16,0.0009003509106624848,0.0007717762946669327
17,0.0010385006975872824,0.0015408817759032926
18,0.0008558682849313851,0.0014242376957144458
19,0.0008130117314297897,0.0006437731515714557
20,0.0007856045244230879,0.000891738740828144
21,0.0008007392343258712,0.0009526174315038255
22,0.0007914784066318609,0.0010098408692242565
23,0.0007682004051416634,0.0007126212955664017
24,0.0007919283076185359,0.0011913269259360237
25,0.0008241089476221429,0.0007203275311273411
26,0.0007385834741539775,0.0011987888304849522
27,0.0007766575725352749,0.0011884683020032523
28,0.0007339240162277555,0.0008910349826410439
29,0.0007703764449872042,0.0007941741412292353
30,0.0007304438727964815,0.0006410340749528292
31,0.0007772860411881685,0.0006529683035385998
32,0.0007115493371599422,0.0007252322791085225
33,0.0009627059146585222,0.0006252702715102433
34,0.0007253029058427299,0.0016907348905642464
35,0.0007193425109991796,0.0006175517625360697
36,0.0007255169265091085,0.0007654674680990456
37,0.0007246662814562204,0.0006348417149971463
38,0.0007021564440460487,0.0006979687086000717
39,0.0006717839927480615,0.0008006958001125998
40,0.0007097050621640347,0.0008129511044104911
41,0.0006878262669949474,0.0007329370798198769
42,0.000703946609743506,0.000989020668039046
43,0.0007028446883927706,0.0007825650325582796
44,0.000670418054270017,0.0007651882513809923
45,0.0006788672601007266,0.0006093347962030773
46,0.0006968807074372307,0.0012020519300254102
47,0.0006922547788914452,0.0010591806732380474
48,0.0006871141027198026,0.0018182154400536502
49,0.0006552331741287662,0.0008444918592585067
50,0.0006715720768701892,0.0007246208428319143
